Date,AIRR,ARKW,FDN,FTEC,GLD,IGM,IYW,MGK,PHO,PSI,SCHG,SOXX,SPY,VGT,VPU,VUG,XAR,XLK,XLV,XLY
2014-10-31,0.04881769118327739,0.017008512080081584,0.0022988404949209063,0.01927550417962265,-0.03054810644807593,0.009909093768014632,0.008634330078826746,0.02841346257594579,0.04997966321540681,0.0034781952120659376,0.028670187854059836,0.003454178635086791,0.023550904928576477,0.019084692223918065,0.08366184204095495,0.029999052353706812,0.04029998779296884,0.01604008434018067,0.05257388207911795,0.021142539827520013
2014-11-30,-0.048311704164975655,0.01864238620291725,0.01818480658097754,0.04825567153255128,-0.00488197260677703,0.04764312030800655,0.051166040717981476,0.030878875942836892,-0.0007740115187913066,0.0654246421970277,0.03083616067574213,0.07217446810578143,0.02747194875298775,0.0499068935571898,0.008084105286570553,0.030586394677943884,0.03297126161130359,0.04810065907503658,0.03478525470576699,0.05447869555947937
2014-12-31,0.0005458640310274099,-0.008643534227095073,-0.013354815940094245,-0.01430796174149529,0.013112132840068735,-0.015931231585117667,-0.022746422011849066,-0.014431269156178428,-0.002711064897427229,0.035380230994733086,-0.006903175451930088,-0.005886162643271575,-0.008011600803855434,-0.024280896802964524,0.025962272277758824,-0.0133270663652022,0.016657369540085787,-0.026829916670100706,-0.017669923087900163,0.004734772021231848
2015-01-31,-0.0898526659021317,-0.0029226191565617787,-0.01940637039516213,-0.03565796936168586,0.08689905756357263,-0.036989835733725496,-0.038697326211493355,-0.014150288470357486,-0.05203884087719968,-0.020816919815505597,-0.013129953526838212,-0.04865968974178658,-0.02962925239280667,-0.03512639433789122,0.021788015536682526,-0.01523130900648606,-0.016476000473755747,-0.035066432932268854,0.013015493205565276,-0.02993768006137354
2015-02-28,0.1071149486486156,0.0825598725328276,0.09978373654951289,0.08278798203072846,-0.05905219494812319,0.08374929662269293,0.08379828598613415,0.06265597192931405,0.03973778449070031,0.0826313422351348,0.06554487251253538,0.096073324550076,0.056204597068889584,0.0833250841117874,-0.05938036886349163,0.06245134220193527,0.08645882903097957,0.07994983721090754,0.04287572346808255,0.08544082782475915
2015-03-31,0.028153788689515125,-0.00676893590086336,-0.01829728012592824,-0.03052276569585366,-0.021522037888980217,-0.030459661538037808,-0.035028019455552895,-0.021141685044182235,-0.01891251213980849,0.0003704807313449354,-0.01083364235230233,-0.029320670397398052,-0.020079801162032118,-0.024631466568602045,-0.015146949797313458,-0.04220839185888703,0.009508314465166201,-0.038291982363332866,0.003599143741958244,-0.008161152252463943
2015-04-30,-0.04528702584080779,0.01953658794657942,0.024029655452678655,0.015274246751918685,-0.0016716737223684275,0.024144225960277765,0.022008361077963112,0.0009599452192237123,0.010441776420283544,-0.0262962977091471,-0.0018562924838282369,-0.012869612698681587,0.009833910333341356,0.012861460662383584,-0.006399619475274343,0.028104410900035237,-0.02655916244330958,0.027509730746249295,-0.01089656435210129,-0.0005308681663886983
2015-05-31,0.0,0.030748601171455503,0.00857400219677884,0.025483630298792637,0.005552104050766671,0.02120819363204851,0.023398920618803887,0.015463928840117935,0.022654995957118285,0.10117911364007104,0.016737915259803504,0.0889989921529486,0.012856147891522562,0.02493282469759972,0.0037398774398744727,0.014783787008592064,0.015254532613134142,0.01855324252837187,0.04504257980994719,0.01314573795323537
2015-06-30,0.003309507780941301,-0.003026359592046779,0.002237045334190224,-0.04161686050429381,-0.015162101232906178,-0.039495696051894624,-0.046547646813375976,-0.02065871820226206,-0.030314760714102995,-0.07426593263718728,-0.018291568199979125,-0.08884927370720086,-0.025054434505185297,-0.03933802136092446,-0.06934386656156177,-0.019149682514006394,-0.017772814227946188,-0.045423044835667614,-0.007339245180674303,0.0023591126864526135
2015-07-31,-0.03958225396173287,0.02905464405077196,0.07752986533436834,0.0221806603061363,-0.06620986259282224,0.03957534907242111,0.02140064519298579,0.03495662437177738,-0.04529062258762451,-0.05932843465001947,0.029439200390524833,-0.049408179275941544,0.02258923370711985,0.02268658530130363,0.05471528324212627,0.0326950014032954,-0.032779719842501054,0.028502421779819764,0.029573826674184955,0.048901643561845676
