Date,AIRR,ARKW,FDN,FTEC,GLD,IGM,IYW,MGK,PHO,PSI,SCHG,SOXX,SPY,VGT,VPU,VUG,XAR,XLK,XLV,XLY
2014-10-01,0.04920488679196722,0.017008379840668608,0.0022988404949209063,0.022267779706925728,-0.03054810644807593,0.011731083008976295,0.011417429931274148,0.03153172284257888,0.05117332547370945,0.004992823265266733,0.03158981285918605,0.006223492124859842,0.02833579206978376,0.01908437254594264,0.09292251225344472,0.03313463398364136,0.04189377238546954,0.020412638172885522,0.05632559781296376,0.024558223638155408
2014-11-01,-0.04831171495511177,0.018642517543086656,0.01818480658097754,0.04825555497010248,-0.00488197260677703,0.04764346813378517,0.051166513714941964,0.030879182190493903,-0.000774091348400896,0.06542484219136013,0.03083542841874154,0.07217448939421711,0.02747148709037539,0.049907321358406254,0.008084299634248948,0.03058637676846021,0.03297129150927258,0.04810090897817365,0.034784859567405846,0.054478862057356414
2014-12-01,0.0005455517536356869,-0.008643565396245223,-0.013354815940094245,-0.014308101807218754,0.013112132840068735,-0.015931662868557406,-0.022746780950100187,-0.014431304257102817,-0.0027108716172710157,0.03538015041405074,-0.00690293109343898,-0.005885977500938888,-0.008011428828947453,-0.024281254429440402,0.025962084609865377,-0.013327073533407119,0.01665753042510132,-0.02682981682060681,-0.017669798213694965,0.00473467349865464
2015-01-01,-0.08834658423088682,-0.0029224763458916003,-0.01940637039516213,-0.0323210924299564,0.08689905756357263,-0.03420530772406616,-0.03531428229022637,-0.014150225111578818,-0.05061864807577854,-0.007568910792641659,-0.0105161419725317,-0.04095549903563256,-0.0242733695743782,-0.03512614512585699,0.021788526949860332,-0.011423317242320374,-0.014980874680163958,-0.03004670185601155,0.01676557950436286,-0.025916097778401204
2015-02-01,0.10711530034696937,0.08255957130699665,0.09978373654951289,0.08278809471052151,-0.05905219494812319,0.08374906318561348,0.08379820926480597,0.06265589731893573,0.03973783488969174,0.08263151961788817,0.06554531381862283,0.09607359386797287,0.056204658929652096,0.08332500414772359,-0.05938092269398065,0.06245114107641481,0.08645890140585122,0.07994967397502406,0.042875552557138485,0.08544090047255626
2015-03-01,0.028153653246964838,-0.006768724444751628,-0.01829728012592824,-0.03052261516501087,-0.021522037888980217,-0.03045922247748678,-0.03502779817761659,-0.02114145961764513,-0.01891249239569559,0.0003698191723593425,-0.01083398166601457,-0.029320862211940857,-0.020080182535664015,-0.024631584717101473,-0.015146845350652582,-0.04220846152018265,0.009507993529760395,-0.03829204268741704,0.0035993071962452383,-0.008161465291517733
2015-04-01,-0.04528694049533355,0.019536516014854177,0.024029655452678655,0.018351491178890678,-0.0016716737223684275,0.02598201240780207,0.02471002368327313,0.0037212230991852113,0.010441779870429047,-0.026295875752202602,0.0004855339511289358,-0.010236218211688186,0.014341929720161906,0.012861296142840484,0.0019615092024400926,0.03123059470725309,-0.023036127060544254,0.031714862339143224,-0.008130153335819679,0.00282620706414205
2015-05-01,0.0,0.030748659553641478,0.00857400219677884,0.025483315980360688,0.005552104050766671,0.021207766090135527,0.023399142281998353,0.015463564961224918,0.022654792145841318,0.10117886099940065,0.016738138363636246,0.08899938363848903,0.012856089932440806,0.024933030172872295,0.0037391526890027116,0.014783975719120157,0.015254576717791402,0.0185536782638398,0.04504277789681255,0.013145700466216992
2015-06-01,0.0033094855486697217,-0.003026311141449134,0.002237045334190224,-0.04161671837820702,-0.015162101232906178,-0.039495471450036734,-0.04654784443271731,-0.02065839906061684,-0.030314224421049474,-0.07426597831340809,-0.01829147567180167,-0.08884946783158221,-0.025054550837836254,-0.039338130186789444,-0.06934372670059341,-0.01914976470273999,-0.017772988436191905,-0.0454231780841744,-0.007339480013520361,0.002358940779293217
2015-07-01,-0.03887053901606097,0.029054623046682826,0.07752986533436834,0.02500896706105049,-0.06620986259282224,0.041813154910632644,0.023778667086279404,0.038663254153521454,-0.04247591179109045,-0.05932808217942265,0.03363296934813187,-0.04693267118639677,0.027563503293581926,0.022686674684281316,0.0645055679640254,0.03549150192864037,-0.03122220053783975,0.03312989880279549,0.03312030263873966,0.05223535963725223
